category,subcategory,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
Environmental Information Processing,Signal transduction,hsa04072,Phospholipase D signaling pathway,24/699,149/8842,0.000597537384994194,0.0117398521522389,0.009101807845732,5291/5295/9265/8613/3815/113/5294/27128/4254/8395/5578/55326/56034/53358/185/5737/23236/3576/109/1902/2207/5156/80310/2149,24
Human Diseases,Cardiovascular disease,hsa05418,Fluid shear stress and atherosclerosis,23/699,141/8842,0.000643493082990945,0.0119403716510542,0.00925726891320307,5291/801/5295/1843/6401/2940/5599/659/4780/7850/3162/652/4208/2941/6385/6383/4688/7422/445/6347/7412/1906/2947,23
Cellular Processes,Cellular community - eukaryotes,hsa04540,Gap junction,17/699,92/8842,0.000767716703038869,0.013495651516578,0.0104630642076211,113/5592/2977/3708/2982/5578/2983/56034/3710/7277/2697/5567/23236/109/1902/5156/80310,17
,,hsa04820,Cytoskeleton in muscle cells,32/699,232/8842,0.00132402140907763,0.0218945113923772,0.0169746290656312,2201/1832/85301/3908/2274/3678/288/5339/476/25777/3728/2335/3694/9672/6443/10529/1291/1278/3339/3680/6385/6383/1277/58529/1290/1281/1293/7168/8572/481/1674/72,32
Organismal Systems,Digestive system,hsa04970,Salivary secretion,17/699,97/8842,0.00141895218183904,0.0218945113923772,0.0169746290656312,55503/801/113/476/5592/2977/3708/2982/5578/2983/3710/5567/23236/109/155/490/481,17
Organismal Systems,Endocrine system,hsa04927,Cortisol synthesis and secretion,13/699,65/8842,0.00147511175397565,0.0218945113923772,0.0169746290656312,949/3284/113/1583/57552/3708/3710/5087/5567/185/23236/109/3949,13
Metabolism,Carbohydrate metabolism,hsa00562,Inositol phosphate metabolism,14/699,73/8842,0.00150770587432537,0.0218945113923772,0.0169746290656312,4952/5291/253430/51196/200576/5294/9110/8395/22876/9107/23236/55613/9562/5287,14
Human Diseases,Cardiovascular disease,hsa05417,Lipid and atherosclerosis,30/699,216/8842,0.00165811585043792,0.0230754455852611,0.0178901973336723,5291/30001/801/1573/5295/6401/5599/1536/572/7187/4067/3708/4780/7409/5578/3306/8743/4773/4688/19/23236/3576/7099/834/6347/23643/6403/7412/3949/4312,30
Organismal Systems,Circulatory system,hsa04270,Vascular smooth muscle contraction,21/699,134/8842,0.00182844105629802,0.02404803995527,0.0186442415032979,801/54776/5581/113/5592/2977/3708/2982/5578/2983/4638/3710/8399/5567/185/23236/109/10203/59/72/1906,21
Human Diseases,Substance dependence,hsa05032,Morphine addiction,16/699,91/8842,0.00187200311029048,0.02404803995527,0.0186442415032979,27115/54331/113/3762/5578/2556/2560/2557/9568/2791/409/5567/109/5139/2564/157,16
Metabolism,Global and overview maps,hsa01230,Biosynthesis of amino acids,14/699,75/8842,0.00197368363206584,0.0240643087113627,0.0186568545319736,84706/5315/7086/226/2597/2805/48/5214/587/2752/445/1373/3417/384,14
Environmental Information Processing,Signal transduction,hsa04014,Ras signaling pathway,32/699,238/8842,0.00201736719735975,0.0240643087113627,0.0186568545319736,2321/5291/801/4915/5295/54331/5924/5599/3479/572/3815/51196/57186/1942/2002/2255/4254/5578/7424/56034/1435/53358/8399/2252/7422/284/2791/5567/23179/5156/2254/80310,32
Metabolism,Amino acid metabolism,hsa00270,Cysteine and methionine metabolism,11/699,52/8842,0.002096269201155,0.0241432383857162,0.0187180480393514,3939/883/1788/2730/1036/2805/587/51074/144811/262/3945,11
Organismal Systems,Immune system,hsa04062,Chemokine signaling pathway,27/699,193/8842,0.00249630315740576,0.0277921751524508,0.0215470377797128,5291/9844/5295/10663/54331/572/113/4067/5294/7409/1524/53358/1794/9547/2829/2791/409/3055/5567/1236/56477/23236/3576/109/6355/6347/157,27
Organismal Systems,Endocrine system,hsa04924,Renin secretion,13/699,69/8842,0.00259120111749803,0.0279181023627207,0.0216446680782518,801/358/2977/3708/2982/2983/3710/5567/185/23236/5139/155/1906,13
Metabolism,Carbohydrate metabolism,hsa00052,Galactose metabolism,8/699,32/8842,0.00279516444721992,0.0284037992200687,0.022021224734122,3099/2584/7360/2582/5214/2717/92579/8972,8
Environmental Information Processing,Signaling molecules and interaction,hsa04514,Cell adhesion molecules,23/699,157/8842,0.00280636339599481,0.0284037992200687,0.022021224734122,57863/6401/940/79679/10686/9076/5789/9672/64115/4897/3897/920/3680/6385/9071/6383/80380/9074/6402/6403/214/7412/1001,23
Environmental Information Processing,Signal transduction,hsa04371,Apelin signaling pathway,21/699,140/8842,0.00315520194948753,0.0303128209327376,0.0235012730836857,801/5565/54331/8862/5581/5054/113/5294/3708/595/4638/4208/3710/6546/2791/5567/185/23236/109/6696/59,21
Organismal Systems,Endocrine system,hsa04919,Thyroid hormone signaling pathway,19/699,122/8842,0.00317649321151442,0.0303128209327376,0.0235012730836857,1734/5291/5295/117247/1827/6513/572/23389/51196/476/5214/595/652/5578/116931/5567/23236/4853/481,19
Human Diseases,Cancer: overview,hsa05230,Central carbon metabolism in cancer,13/699,71/8842,0.00336613560644921,0.031230258126501,0.0242125543621785,5291/3939/3099/5295/5315/9123/6513/3815/5214/5163/3417/5156/3945,13
Organismal Systems,Immune system,hsa04610,Complement and coagulation cascades,15/699,88/8842,0.00349640796208513,0.031562169171255,0.024469882181307,10544/2162/5054/727/7448/719/5627/11326/710/3426/1378/2153/2266/730/2149,15
Organismal Systems,Environmental adaptation,hsa04713,Circadian entrainment,16/699,97/8842,0.00365831206089202,0.0321546375878404,0.0249292179218681,801/54331/113/5592/2977/3708/2982/3762/8863/5578/2983/3710/2791/5567/23236/109,16
Organismal Systems,Nervous system,hsa04724,Glutamatergic synapse,18/699,115/8842,0.00381285565190639,0.0326230554214736,0.0252923782971399,54331/2898/10991/6511/113/3708/2752/5578/22941/3710/6505/2791/6506/5567/23236/109/6507/157,18
Organismal Systems,Nervous system,hsa04727,GABAergic synapse,15/699,89/8842,0.00390695274508666,0.0326230554214736,0.0252923782971399,18/54331/10991/113/66008/2752/5578/2556/2560/2557/9568/2791/5567/109/2564,15
Organismal Systems,Digestive system,hsa04976,Bile secretion,15/699,90/8842,0.00435606206533418,0.0354840706550266,0.0275104991526522,949/9429/6513/113/476/358/57552/8671/1244/5567/109/5243/760/481/3949,15
Organismal Systems,Sensory system,hsa04750,Inflammatory mediator regulation of TRP channels,16/699,99/8842,0.0044996037688939,0.0354840706550266,0.0275104991526522,5291/801/1573/5295/5599/3479/5581/113/3556/5029/3708/5578/3710/5567/23236/109,16
Metabolism,Metabolism of cofactors and vitamins,hsa00770,Pantothenate and CoA biosynthesis,6/699,21/8842,0.00462414942088074,0.0354840706550266,0.0275104991526522,5167/587/8875/80347/1806/8876,6
Organismal Systems,Endocrine system,hsa04921,Oxytocin signaling pathway,22/699,154/8842,0.00467454823000351,0.0354840706550266,0.0275104991526522,801/5565/54776/1827/113/2002/2977/5294/3708/2982/595/3762/5578/2983/4638/4208/3710/4773/781/5567/23236/109,22
Human Diseases,Cancer: overview,hsa05205,Proteoglycans in cancer,27/699,204/8842,0.00541977245428823,0.0402267555496059,0.0311874625439744,5291/5295/54776/3678/3479/288/51196/7078/2002/3708/595/2335/7472/7409/7448/5578/3710/1278/3339/6385/6383/7422/1277/5567/11211/7099/7040,27
Environmental Information Processing,Signal transduction,hsa04020,Calcium signaling pathway,32/699,254/8842,0.00555986375303275,0.0403694455111508,0.0312980888614658,2321/801/4915/401152/10800/51196/113/3708/2255/292/5578/7424/56034/4638/3710/9630/4773/6870/6546/2252/7422/5567/185/5737/23236/109/155/490/5156/2254/80310/2149,32
Organismal Systems,Digestive system,hsa04971,Gastric acid secretion,13/699,76/8842,0.00614649430496731,0.04367934250764,0.0338642239422611,801/113/476/3708/5578/4638/3710/5567/23236/109/760/481/3773,13
Human Diseases,Infectious disease: viral,hsa05162,Measles,20/699,139/8842,0.00628743036577456,0.0437500362951813,0.0339190322364154,5291/5295/940/5599/51284/572/6504/1459/7187/894/4940/595/4600/4599/3560/7099/4939/4938/3561/64135,20
Organismal Systems,Nervous system,hsa04730,Long-term depression,11/699,60/8842,0.0066800580101797,0.0447211730552892,0.034671946333442,3479/1392/4067/5592/2977/3708/2982/5578/2983/3710/23236,11
Environmental Information Processing,Signaling molecules and interaction,hsa04060,Cytokine-cytokine receptor interaction,36/699,298/8842,0.00669478638552233,0.0447211730552892,0.034671946333442,3952/3623/3624/10663/3595/26525/653/1443/3556/768211/10148/659/7850/654/1524/652/1435/8743/920/7048/9547/2829/3560/1236/56477/1439/94/3576/6355/6347/9180/3561/7040/5617/90865/2690,36
Metabolism,Amino acid metabolism,hsa00220,Arginine biosynthesis,6/699,23/8842,0.00751070556545263,0.0474016228649484,0.0367500763466035,84706/2805/2752/445/1373/384,6
Organismal Systems,Excretory system,hsa04964,Proximal tubule bicarbonate reclamation,6/699,23/8842,0.00751070556545263,0.0474016228649484,0.0367500763466035,10991/476/358/8671/760/481,6
Organismal Systems,Digestive system,hsa04978,Mineral absorption,11/699,61/8842,0.00758476105847561,0.0474016228649484,0.0367500763466035,55503/476/3162/4891/7421/4494/6546/490/4501/481/65010,11
Environmental Information Processing,Membrane transport,hsa02010,ABC transporters,9/699,45/8842,0.00766373543325513,0.0474016228649484,0.0367500763466035,5825/9429/26154/10350/1244/23460/19/10060/5243,9
