ONTOLOGY,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
BP,GO:0060348,bone development,44/1296,215/18888,4.55839215209585e-11,2.28499766605968e-08,1.65759714621667e-08,LEP/ENG/HSD17B1/RFLNB/PAPPA2/COL27A1/IGF1/ECM1/MMP14/BMPR2/CITED2/INSIG1/FOSL2/BMP6/ITGB6/BMP4/DLX5/PDGFC/COL6A1/MEF2C/NOTUM/BNC2/TGFBR2/DDR2/LTF/SH3PXD2B/GJA1/COL1A1/TMEM38B/COL3A1/RANBP3L/SULF2/RARB/FREM1/NOTCH2/PAPSS2/TRIM45/RGN/HAS2/LOX/SNX10/STC1/GHR/EPYC,44
BP,GO:0003018,vascular process in circulatory system,51/1296,275/18888,6.09335279166023e-11,2.65275064806408e-08,1.9243747900356e-08,LEP/SOD1/ABCG2/SLCO2B1/GCLM/SLC2A1/SLC38A3/PLEC/SLC16A1/ARHGAP42/CYSLTR1/SLIT2/PRKG1/P2RY2/GUCY1A1/BMPR2/SLC2A3/P2RY1/ZEB2/SLC4A4/GPER1/BMP6/DOCK5/KEL/ADRA2C/SLC22A3/SLC1A1/ITGA9/TBXAS1/ABCC2/SLC8A1/VEGFA/ANGPT1/SLC1A2/AGTR1/NTS/PDE3A/ABCC9/ADRB3/CPS1/ATP2B1/ABCB1/FGG/SLC6A6/TGFB1/SLC1A3/SLC28A2/ACTA2/SLC16A12/EDN1/F2R,51
BP,GO:0045785,positive regulation of cell adhesion,74/1296,485/18888,6.25421806761571e-11,2.65275064806408e-08,1.9243747900356e-08,FSTL3/LEP/EFNB1/PLEKHA2/NPNT/BCL6/SELE/CYTH3/NEDD9/CD28/VTCN1/LAMA2/EGFL6/PLPP3/SFRP1/ITGA5/ADAM9/IGF1/ANK3/PRKCE/BAD/SLAMF1/DOCK8/LAMC1/VIT/PTPRU/LYN/LAMB2/EPHA1/PDPN/EBI3/NCKAP1L/AIF1/CITED2/JUP/FN1/GATA3/VAV1/ST3GAL4/KITLG/VTN/DOCK5/PRKCA/CSF1/VSIR/MAP3K8/CD4/SDC4/TGFBR2/CORO1A/EGFLAM/VEGFA/ANGPT1/CDH13/PDCD1LG2/CCR7/PODXL/PNP/CCL28/CR1/VNN1/CCL2/LAMB1/FGG/HAS2/IL2RG/GCNT1/LEF1/TPM1/P2RY12/SELP/VCAM1/OLFM4/EDIL3,74
BP,GO:0050878,regulation of body fluid levels,61/1296,370/18888,1.33518876055937e-10,5.25873630408885e-08,3.81482503016964e-08,PROCR/PIK3CB/HK2/HSD11B2/F13A1/NEURL1/APLN/PRKCE/OPRK1/CDO1/SERPINE1/NCOR2/AQP1/LYN/PRKG1/PDPN/P2RY2/PIK3CG/FGF10/NFE2L2/P2RY1/CCND1/TYRO3/VAV1/FOSL2/ST3GAL4/VTN/DDR1/UBASH3B/PRKCA/PRICKLE1/ADRA2C/VDR/TXK/PROS1/CD9/GJA1/VEGFA/SERPING1/WFS1/PRKACB/COL3A1/SPINK1/PLEK/FAP/PAPSS2/TLR4/OAS2/F5/NPR3/FCER1G/FGG/HAS2/XDH/PDGFRA/P2RY12/SELP/HEG1/PRL/EDN1/F2R,61
BP,GO:0032102,negative regulation of response to external stimulus,70/1296,456/18888,1.5784992643305e-10,5.80256329567893e-08,4.20933137154801e-08,LEP/SEMA4C/SEMA3D/KLRD1/SOD1/GPR17/DUSP1/SPX/IGF1/SERPINB9/MIF/KIAA0319/SERPINE1/CD200R1/C5/SLIT2/LYN/CARD16/PRKG1/KLF4/TNR/USP18/AIF1/OAS3/GATA3/TYRO3/GPER1/ELF4/VTN/ST6GAL1/FURIN/UBASH3B/NR1D2/INPP5F/SEMA6A/SMIM30/MIR223/SEMA6D/MIR221/PROS1/PTGIS/LTF/CD9/VSIG4/PLA2G10/SERPING1/ARRB2/HCK/MYOZ1/CASK/FAP/CR1/TRIM45/CCL2/OAS1/FGG/TGFB1/NT5E/PDGFRA/AOAH/MIR181A2/MIR181B1/PARP1/FGL2/SPP1/IL33/ARG2/EDN1/LDLR/SEMA5A,70
BP,GO:0032496,response to lipopolysaccharide,58/1296,348/18888,2.47324929969329e-10,8.52343539906801e-08,6.18312324923323e-08,SASH1/DIO2/SCARB1/SELE/IL12RB2/ADAM9/MAPK8/PRKCE/OPRK1/MIF/SERPINE1/IL36RN/NLRP7/NOCT/HNRNPA0/LYN/CARD16/IDO1/FGF10/CLDN1/MRC1/FOSL2/BMP6/CX3CR1/FMO1/PRKCA/COL6A1/MEF2C/MIR223/LTF/SPON2/CD180/HCK/SLC11A1/PDCD1LG2/AICDA/CCR7/ASS1/ABCA1/PTGFR/CSF2RB/CXCL8/TLR4/LY86/CPS1/CASP1/PELI1/CCL2/LY96/S100A8/HPGD/SELP/KMO/MMP8/VCAM1/MAOB/EDN1/F2R,58
BP,GO:0001666,response to hypoxia,54/1296,313/18888,2.8045320241943e-10,9.09658210671023e-08,6.59889888045719e-08,NDRG1/LEP/PIK3CB/ERO1A/LIMD1/INHBA/HK2/HILPDA/PLOD2/HSD11B2/EGLN3/AK4/ABAT/DNMT3A/ARNT2/SFRP1/SLC2A1/POSTN/PRKCE/EGLN1/CYBB/BAD/NPEPPS/ASCL2/CYSLTR1/AQP1/MMP14/PMAIP1/SUV39H1/ITPR1/NFE2L2/CITED2/STC2/FOSL2/PDK1/HMOX1/HYOU1/VEGFC/CRYAB/HSPG2/MIR223/DDR2/AIFM1/PTGIS/VEGFA/DDIT4/ACVRL1/MYOCD/TGFB1/CAT/STC1/VCAM1/NDP/EDN1,54
BP,GO:0031214,biomineral tissue development,38/1296,180/18888,3.71983608106007e-10,1.13950978616474e-07,8.26630240235572e-08,LEP/SLC20A1/FBN2/RFLNB/IGF1/KL/ECM1/ENPP1/HEY1/BMPR2/FOSL2/BMP6/ITGB6/BMP4/PRICKLE1/COL6A1/MEF2C/VDR/COL1A2/NOTUM/RSPO2/ODAPH/DDR2/CNNM4/LTF/SLC8A1/GJA1/ANKH/COL1A1/TMEM38B/FAM20A/WLS/ATP2B1/TGFB1/MINPP1/LOX/SNX10/SPP1,38
BP,GO:0001667,ameboidal-type cell migration,73/1296,498/18888,5.37168623664889e-10,1.55891988994116e-07,1.13088131297871e-07,SASH1/TPBG/EFNB1/PIK3CB/SEMA4C/SYDE1/SEMA3D/SCARB1/PLPP3/ADAM9/PRKCE/PLEC/HDAC9/KIT/SLIT2/RAB25/EFNA1/SPRED1/AQP1/KLF4/PIK3CG/BMPR2/FGF10/NFE2L2/ENPP2/RHOB/ZEB2/JUP/FN1/GATA3/KITLG/HMOX1/SRGAP2/BMP4/GLUL/ADGRA2/DOCK5/S100A12/PRKCA/SRPX2/VEGFC/SEMA6A/MEF2C/MIR320A/PTPRR/SDC4/TGFBR2/SEMA6D/CORO1A/DDR2/MIR221/PRKD1/EPHB4/MEOX2/GJA1/FGF7/VEGFA/ANGPT1/SNAI2/FAT2/CDH13/FAP/ACVRL1/DNAJA4/HAS2/TGFB1/NRP2/CTSH/STC1/ACTA2/EDN1/TACSTD2/SEMA5A,73
BP,GO:0072001,renal system development,55/1296,329/18888,6.42549724940453e-10,1.77150959166083e-07,1.28509944988091e-07,MME/NPNT/PKD2/NOG/SFRP1/MTSS1/PLCE1/NFIA/SLIT2/KLHL3/AQP1/LAMB2/GREB1L/FGF10/BASP1/GATA3/BMP6/CYP26A1/BMP4/RDH10/TCF21/PROM1/PRICKLE1/MEF2C/PBX1/SDC4/VEGFA/ANGPT1/GCNT4/WFS1/LGR5/ADAMTS6/SULF2/AGTR1/RARB/PODXL/BICC1/ASS1/NOTCH2/RGN/PCSK5/MYOCD/EPCAM/HAS2/GCNT1/HPGD/PDGFRA/CAT/CTSH/ACTA2/ARG2/ALDH1A2/EDN1/PDGFD/TACSTD2,55
BP,GO:0060326,cell chemotaxis,54/1296,322/18888,8.17337455597797e-10,2.1460946334125e-07,1.55683324875771e-07,FLT1/TPBG/ACKR2/DUSP1/CXCR6/NEDD9/TREM1/MIF/SLAMF1/MTUS1/PLEC/SERPINE1/KIT/C5/SLIT2/LYN/PIKFYVE/PIK3CG/NCKAP1L/AIF1/VAV1/CX3CR1/S100A12/BIN2/VEGFC/CSF1/C3AR1/MPP1/ITGA9/CMKLR1/MIR223/CORO1A/PRKD1/CXCL14/XCR1/VEGFA/ARRB2/CCR7/AGTR1/CCL28/CXCL8/CCL8/LPAR1/CCL2/FCER1G/LEF1/S100A8/PDGFRA/LOX/GPR183/VCAM1/EDN1/PDGFD/SEMA5A,54
BP,GO:0002237,response to molecule of bacterial origin,59/1296,369/18888,9.10463996645958e-10,2.28195385341173e-07,1.65538908481083e-07,SASH1/DIO2/SCARB1/SELE/IL12RB2/ADAM9/MAPK8/PRKCE/OPRK1/MIF/SERPINE1/IL36RN/NLRP7/NOCT/HNRNPA0/LYN/CARD16/IDO1/FGF10/CLDN1/MRC1/FOSL2/BMP6/CX3CR1/FMO1/PRKCA/COL6A1/MEF2C/MIR223/LTF/SPON2/CD180/HCK/SLC11A1/PDCD1LG2/AICDA/CCR7/ASS1/ABCA1/PTGFR/CSF2RB/CXCL8/TLR4/LY86/CPS1/TLR1/CASP1/PELI1/CCL2/LY96/S100A8/HPGD/SELP/KMO/MMP8/VCAM1/MAOB/EDN1/F2R,59
BP,GO:0070661,leukocyte proliferation,57/1296,352/18888,1.08197848841262e-09,2.51019595702544e-07,1.82096188395027e-07,LEP/EFNB1/BCL6/CD28/PDE5A/VTCN1/IGF1/MIF/SLAMF1/DOCK8/KIT/LYN/PIK3CG/IDO1/EBI3/NCKAP1L/FGF10/AIF1/SH3RF1/FOSL2/KITLG/ELF4/BMP4/ST6GAL1/JUNB/CSF1/LRRC32/VSIR/MEF2C/NFATC2/SDC4/TGFBR2/CORO1A/DOCK2/VSIG4/GJA1/CD180/LST1/SLC11A1/PDCD1LG2/MNDA/PNP/CSF2RB/CLC/CR1/TLR4/CCL8/NPR3/TWSG1/PELI1/LEF1/MIR181B1/GPR183/VCAM1/IL33/ARG2/NDP,57
BP,GO:0022407,regulation of cell-cell adhesion,72/1296,496/18888,1.09257713037016e-09,2.51019595702544e-07,1.82096188395027e-07,FSTL3/LEP/EFNB1/BCL6/SELE/CD28/PDE5A/VTCN1/PLPP3/IGF1/ANK3/BAD/SLAMF1/DOCK8/ASCL2/PTPRU/LYN/PRKG1/KLF4/PDPN/TNR/IDO1/EBI3/NCKAP1L/MAD2L2/AIF1/CITED2/GATA3/ABCA12/VAV1/BMP6/ST3GAL4/KITLG/BMP4/EPHB3/UBASH3B/PRKCA/LRRC32/VSIR/MAP3K8/CD4/SDC4/TGFBR2/CORO1A/MIR221/CD9/VSIG4/VEGFA/ZNF703/PDCD1LG2/CCR7/PODXL/PNP/ASS1/CCL28/CR1/VNN1/TWSG1/PELI1/CCL2/EPCAM/FGG/HAS2/IL2RG/GCNT1/LEF1/TGFB1/LAPTM5/SELP/FGL2/VCAM1/ARG2,72
BP,GO:0042060,wound healing,65/1296,430/18888,1.36751071997031e-09,3.01618164396652e-07,2.1880171519525e-07,PROCR/PIK3CB/MYOF/NOG/SCARB1/DSP/F13A1/PLPP3/ITGA5/PPL/IGF1/PRKCE/AHNAK/PLEC/SERPINE1/AQP1/LYN/PRKG1/PDPN/PIK3CG/GRHL3/FGF10/NFE2L2/CLDN1/P2RY1/FN1/TYRO3/VAV1/ST3GAL4/HMOX1/ITGB6/VTN/DDR1/UBASH3B/PRKCA/MYLK/ADRA2C/TXK/SDC4/DDR2/MIR221/PROS1/CD9/VEGFA/SERPING1/MYOZ1/CASK/SLC11A1/COL3A1/PLEK/FAP/NOTCH2/ACVRL1/PAPSS2/TLR4/F5/FCER1G/FGG/TGFB1/TPM1/PDGFRA/P2RY12/SELP/EDN1/F2R,65
BP,GO:0040013,negative regulation of locomotion,65/1296,431/18888,1.50563202427494e-09,3.19309806994308e-07,2.31635696042298e-07,ENG/SEMA4C/LIMCH1/SEMA3D/NOG/DUSP1/ARRDC3/NEDD9/ZMYND8/SFRP1/MIF/SERPINE1/CD200R1/C5/PTPRU/BMP5/SLIT2/SPRED1/EPHA1/PRKG1/KLF4/STK24/NFE2L2/AIF1/RHOB/CITED2/ZEB2/JUP/GATA3/MIR218-1/HMOX1/DACH1/CX3CR1/SRGAP2/BMP4/ST6GAL1/SEMA6A/MEF2C/MIR320A/PTPRR/MIR223/SEMA6D/MIR221/MEOX2/GJA1/DPYSL3/COL3A1/MCTP1/CCL28/TBX5/TCAF1/PLCB1/ACVRL1/CDH11/RGN/MYOCD/CCL2/DNAJA4/TGFB1/TPM1/STC1/IL33/ADARB1/TACSTD2/SEMA5A,65
BP,GO:0007162,negative regulation of cell adhesion,52/1296,310/18888,1.66593400889638e-09,3.40220745372395e-07,2.4680503835502e-07,BCL6/PIK3R1/DUSP1/PDE5A/VTCN1/POSTN/SERPINE1/ASCL2/PRKG1/MMP14/KLF4/TNR/IDO1/MAD2L2/ABCA12/BMP6/BMP4/ACER2/UBASH3B/LRRC32/SEMA6A/VSIR/HSPG2/SDC4/MIR221/CD9/VSIG4/VEGFA/ANGPT1/ZNF703/COL1A1/SNAI2/CASK/CDH13/PDCD1LG2/PODXL/ASS1/CCL28/MUC1/ACVRL1/SPRY4/CR1/ADAMDEC1/TWSG1/PELI1/EPCAM/TGFB1/LAPTM5/FGL2/ARG2/TACSTD2/SEMA5A,52
BP,GO:0090130,tissue migration,59/1296,383/18888,3.86095287890857e-09,7.60331934796494e-07,5.51564696986938e-07,SASH1/PIK3CB/SCARB1/PLPP3/ADAM9/PRKCE/HDAC9/KIT/SLIT2/RAB25/EFNA1/SPRED1/KLF4/PIK3CG/BMPR2/FGF10/NFE2L2/ENPP2/RHOB/ZEB2/JUP/GATA3/KITLG/HMOX1/GLUL/ADGRA2/DOCK5/S100A12/PRKCA/SRPX2/VEGFC/MEF2C/MIR320A/PTPRR/TGFBR2/CORO1A/MIR221/PRKD1/EPHB4/MEOX2/FGF7/VEGFA/ANGPT1/SNAI2/FAT2/CDH13/FAP/ACVRL1/DNAJA4/HAS2/TGFB1/NRP2/CTSH/STC1/ACTA2/ACTG2/EDN1/TACSTD2/SEMA5A,59
BP,GO:0071559,response to transforming growth factor beta,51/1296,309/18888,4.21351434809711e-09,8.01148900531291e-07,5.8117439284098e-07,HTRA4/NPNT/ENG/TSC22D1/FBN2/HTRA1/SOX5/SFRP1/LTBP1/ADAM9/POSTN/SPRED1/PMEPA1/MTMR4/CLDN1/CITED2/ZEB2/WNT2/CX3CR1/ITGB6/RASL11B/FURIN/LRRC32/MEF2C/COL1A2/TGFBR2/DDR2/MXRA5/ARRB2/ZNF703/COL1A1/CHST11/FMOD/COL3A1/ACVRL1/PDE3A/MYOCD/TWSG1/BAMBI/SKIL/TGFB1/HPGD/MIR181A2/PARP1/LOX/ACTA2/NREP/NDP/EDN1/PDGFD/CDH3,51
BP,GO:0010810,regulation of cell-substrate adhesion,41/1296,221/18888,4.51361495295856e-09,8.29602428353783e-07,6.01815327061141e-07,PIK3CB/PLEKHA2/NPNT/BCL6/LIMCH1/PIK3R1/NEDD9/EGFL6/SFRP1/ITGA5/POSTN/PRKCE/SERPINE1/VIT/EPHA1/MMP14/PDPN/JUP/FN1/VTN/DOCK5/ST6GAL1/DDR1/ACER2/CSF1/SDC4/EPHA3/EGFLAM/VEGFA/COL1A1/CASK/CDH13/CCR7/CCL28/ACVRL1/SPRY4/FGG/HAS2/OLFM4/TACSTD2/EDIL3,41
BP,GO:0097529,myeloid leukocyte migration,43/1296,239/18888,5.01388516583206e-09,8.91824606593483e-07,6.46952924623492e-07,FLT1/PIK3R1/DUSP1/TREM1/MIF/SLAMF1/MTUS1/SERPINE1/KIT/CD200R1/C5/SLIT2/LYN/PIKFYVE/MMP14/PIK3CG/NCKAP1L/AIF1/VAV1/KITLG/CX3CR1/S100A12/VEGFC/CSF1/C3AR1/MPP1/ITGA9/CMKLR1/MIR223/CD9/VEGFA/CCR7/PLCB1/CXCL8/CCL8/CCL2/FCER1G/S100A8/P2RY12/XG/CD177/EDN1/PDGFD,43
BP,GO:0071560,cellular response to transforming growth factor beta stimulus,50/1296,302/18888,5.37023811726139e-09,9.18175819295828e-07,6.6606878440031e-07,HTRA4/NPNT/ENG/TSC22D1/FBN2/HTRA1/SOX5/SFRP1/LTBP1/ADAM9/POSTN/SPRED1/PMEPA1/MTMR4/CLDN1/CITED2/ZEB2/WNT2/CX3CR1/ITGB6/RASL11B/FURIN/LRRC32/MEF2C/COL1A2/TGFBR2/DDR2/ARRB2/ZNF703/COL1A1/CHST11/FMOD/COL3A1/ACVRL1/PDE3A/MYOCD/TWSG1/BAMBI/SKIL/TGFB1/HPGD/MIR181A2/PARP1/LOX/ACTA2/NREP/NDP/EDN1/PDGFD/CDH3,50
BP,GO:0046942,carboxylic acid transport,56/1296,358/18888,5.49506747130256e-09,9.18175819295828e-07,6.6606878440031e-07,LEP/SFXN3/SLC6A8/SLCO2A1/NTRK2/PLIN2/ABCD3/SLC16A10/ABCG2/ABAT/SLC16A3/SLCO2B1/SPX/LRRC8A/SLC23A2/SLC2A1/SLC38A3/MIF/FOLR2/SLC16A1/SLC1A6/SLCO4A1/SLC26A2/PRKG1/RGS4/SLC17A5/SLC27A2/SFXN2/SLC16A4/SLC22A3/FABP4/SLC1A1/PTGES/ABCC2/RBP7/PLA2G10/GJA1/SLC5A12/SLC1A2/SLC11A1/SLC7A4/SLC38A6/EMB/NMUR2/SLC35D1/ABCB1/SLC6A6/SLC38A4/SLC26A6/SLC7A7/SLC1A3/KMO/MFSD12/SLC16A12/SLC6A15/EDN1,56
BP,GO:0015849,organic acid transport,56/1296,359/18888,6.08708291046377e-09,9.83813358628721e-07,7.13683974340748e-07,LEP/SFXN3/SLC6A8/SLCO2A1/NTRK2/PLIN2/ABCD3/SLC16A10/ABCG2/ABAT/SLC16A3/SLCO2B1/SPX/LRRC8A/SLC23A2/SLC2A1/SLC38A3/MIF/FOLR2/SLC16A1/SLC1A6/SLCO4A1/SLC26A2/PRKG1/RGS4/SLC17A5/SLC27A2/SFXN2/SLC16A4/SLC22A3/FABP4/SLC1A1/PTGES/ABCC2/RBP7/PLA2G10/GJA1/SLC5A12/SLC1A2/SLC11A1/SLC7A4/SLC38A6/EMB/NMUR2/SLC35D1/ABCB1/SLC6A6/SLC38A4/SLC26A6/SLC7A7/SLC1A3/KMO/MFSD12/SLC16A12/SLC6A15/EDN1,56
BP,GO:0019722,calcium-mediated signaling,42/1296,232/18888,6.24473477548155e-09,9.83813358628721e-07,7.13683974340748e-07,CALM1/PKD2/ACKR2/CXCR6/SELE/FHL2/RCAN1/IGF1/PLCE1/ITPR1/JPT2/CX3CR1/MCTP2/ITPR3/CA8/NFATC2/CD4/C3AR1/CMKLR1/PRKD1/SLC8A1/XCR1/MYOZ1/TMEM38B/CDH13/CCR7/MCTP1/AGTR1/PLEK/PTGFR/CXCL8/NMUR2/RGN/AKAP6/PDK2/CALCR/PDGFRA/P2RY12/SELP/ATP1B1/VCAM1/EDN1,42
